sample4,Noised,Naive,Regolarized,Regolarized 2nd,TV correction
K1_0.02_0.32,0.0006157381721030932,0.03246344632765381,0.006505651404388694,0.0065056375458009625,0.0003997672155261404
K1_0.04_0.08,0.0018164101114057866,0.12762679029545956,0.00385902350213726,0.0038590185660289547,0.00021811671860739627
K2_0.01_0.05,0.0004925996199481566,0.12826237417737754,0.0006436161614908295,0.000643499359376091,0.00022496656600465046
K2_0.03_0.01,0.0012973016508216041,1.1687183695250558,0.007390768198920465,0.005722040923041438,0.00024032907926967783
K2_0.04_1,0.0019934149455618382,2.096059108053673,0.02650220613368943,0.02650220718985305,0.001089887700733081
K3_0.01_0.32,0.000565426078138785,0.12370232295608988,0.006621224337101006,0.006621207895758735,0.0005828517900677441
K3_0.03_0.08,0.001364678359694939,1.1427692403256575,0.001561912512912673,0.001561899015076538,0.0003729062693367451
K3_0.05_0.05,0.002965147583041397,3.2040802414981444,0.0034660102192026485,0.00346308309536937,0.00035565129180256205
