sample9,Noised,Naive,Regolarized,Regolarized 2nd,TV correction
K1_0.02_0.32,0.0009555186709138424,0.03248001456057947,0.012726189684593488,0.012726190994569382,0.003115111926928163
K1_0.04_0.08,0.0021465192084230283,0.1294115268403477,0.004472356475762309,0.004472322179971875,0.0011878262309255319
K2_0.01_0.05,0.0012770781984694968,0.12616605050574387,0.0011829578526815847,0.001182918403436323,0.00130816136799208
K2_0.03_0.01,0.0020712807230459326,1.168329070938178,0.007412326692230698,0.005770908865875638,0.000797230629789572
K2_0.04_1,0.002780041410131147,2.071827510045925,0.05238371205449279,0.05238371545331027,0.005828653462181518
K3_0.01_0.32,0.001572859010237322,0.12075734421026085,0.013566277955611352,0.013566238538501021,0.003672409391540801
K3_0.03_0.08,0.0023687978739141274,1.128431025206774,0.002709079003871889,0.0027090735648631833,0.0018553592878423055
K3_0.05_0.05,0.00398283322412897,3.1862233855533724,0.0041925762015736796,0.004189776216402054,0.0016348036657735235
